,id,mode,TASK_STARTED_LOAD,TASKS_LIST_LOAD,TASK_SUBMITED_LOAD,FINISHED_TASK_LOAD,BELL_CLICK,SETT_CLICK,SETT_SAVE,MSG_RCV_WORKER,MSG_CLICK_WORKER,MSG_RCV_REQUESTER,MSG_CLICK_REQUESTER,LIST_NEW,LIST_RECOM,LIST_PAY,TASK_HIDE_ON,TASK_HIDE_OFF,tasks_count,wage_sum,wage_max,Unnamed: 0_x,all_tasks_count,all_rewards,TASKS_LIST,MESSAGES_READ,TASK_INFO,TASK_TIMEOUT,TASK_SUBMITED,WORKER_EARNINGS,WORKER_EARNINGS_DETAILS,WORKER_DASHBOARD,WORKER_QUALIFICATIONS,TASK_QUEUE,MESSAGES_NOTIFICATION
46,12a018d67276e148c066f78ec99232ac,ACTIVE,15,14,39,0,14,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,12a018d67276e148c066f78ec99232ac,PASSIVE,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,12,0.14,0,0,0,0,0,0,0,0,0,0,0
48,3e276dee7587aa0b0db8d1aca5998c5,ACTIVE,1427.75,1844.5,1628.5,0,150.5,2,0,1596.5,0,0,0,0.75,2.25,1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3e276dee7587aa0b0db8d1aca5998c5,PASSIVE,68,242,119,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1d879cab6a4b14427458d7fa73a8e090,ACTIVE,67,36,112,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.08,0,0,0,0,0,0,0,0,0,0,0
51,1d879cab6a4b14427458d7fa73a8e090,PASSIVE,26,28,45,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,0.09,0,0,0,0,0,0,0,0,0,0,0
52,748688a097f2efa5eb772fead493e52,ACTIVE,16.5,11.5,19,0,4,0,0,0,0,0,0,1,1,1,0,0,291,0,0,0,22,0.69,10,2,0,0,3,1,0,8,0,2,0
53,748688a097f2efa5eb772fead493e52,PASSIVE,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
54,14bd46b7588fe4d5cbf6e470c053f1,ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,14bd46b7588fe4d5cbf6e470c053f1,PASSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,366e1afb12cbcaacc407b5ecd4de411,ACTIVE,71,31,92,0,50,4,0,0,0,0,0,0,0,0,0,0,1591,0,0,0,11,0.16,117,3,3,0,2,3,0,0,0,0,0
57,366e1afb12cbcaacc407b5ecd4de411,PASSIVE,100,48.5,183,0,28.5,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,1,9,0.4,18,0,2,1,6,0.5,0,0,0,0,0
58,e4991b4c586ddf9d8678278e5f348f,ACTIVE,3,15,1,0,11,0,0,0,0,0,0,0,0,0,0,0,1522,0,0.45,0,6,0.45,7,0,0,0,1,0,0,0,0,0,0
59,e4991b4c586ddf9d8678278e5f348f,PASSIVE,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,628,0.45,0.45,1,1,0,3,0,0,1,0,0,4,1,0,0,0
60,9b9ba913655727a73581c5131ef440,ACTIVE,65,46,91.5,0,35,3,1,0,0,0,0,5,0.5,4.5,0,1.5,1913,0.025,0.35,0,19,0.19,95.5,25,4,13,34,4,4,23,0,4,0
61,9b9ba913655727a73581c5131ef440,PASSIVE,54,106,62,0,20.5,0,0,0,0,0,0,0,0,0,0,0,15.5,0.39,0.29,1,0,0,21,1,0.5,1,3,2.5,2,0,0,0,0
62,13ca42646efae28cdcd2a9979e7d652e,ACTIVE,2,21,1,0,9,0,0,0,0,0,0,0,0,0,0,0,701,0,0,0,0,0,22,8,0,0,0,0,0,0,0,0,0
63,13ca42646efae28cdcd2a9979e7d652e,PASSIVE,0,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,403,0,0,1,0,0,13,5,0,0,0,0,0,0,0,0,0
64,2ff051a735a3c5fcbde7c3d89dd0cdd4,ACTIVE,70,21,121,0,16,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2ff051a735a3c5fcbde7c3d89dd0cdd4,PASSIVE,44,42,62,0,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,fed4621fac27d78c8f49381bac8f708f,ACTIVE,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,fed4621fac27d78c8f49381bac8f708f,PASSIVE,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,14186a8954f5b2a95eea7e1b520615b,ACTIVE,0,5,0,0,6,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,14186a8954f5b2a95eea7e1b520615b,PASSIVE,32,11,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,a57b9a17c9858bffce5a1145b4f20a5,ACTIVE,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,2,0,21,1,0,0,0,0,0,0,0,0,0
71,a57b9a17c9858bffce5a1145b4f20a5,PASSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,aba4811bb22b4020b58811c6536c5b,ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,aba4811bb22b4020b58811c6536c5b,PASSIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,b0a991f13fe81c98b9eb531d38fd448,ACTIVE,63,191.5,127,0,45,3,0,0,0,0,0,0.5,2,0.5,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
75,b0a991f13fe81c98b9eb531d38fd448,PASSIVE,17,91,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76,ae62c4917bdddad787863edc33a78323,ACTIVE,61,13.5,67,0,6.5,0,0,0,0,0,0,1,1,1,0,0,576,1.64,0.805,0,18.5,0.415,48.5,0,8.5,1.5,66,0,2,0,0,3.5,0
77,ae62c4917bdddad787863edc33a78323,PASSIVE,131.5,30.5,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,22,0.245,1,0,0,0,0,0,0,0,0,0,0
78,e094d7cb29f028d3c41f133cf9de1bb1,ACTIVE,15,14,15,0,13,2,1,0,0,0,0,0,0,4,0,0,903,0,0,0,2,0,4,2,0,0,9,0,0,0,0,0,0
79,e094d7cb29f028d3c41f133cf9de1bb1,PASSIVE,3,30,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1546,0.01,0.01,1,8,0.2,25,6,0,0,1,13,8,1,0,0,0
80,9bad799cf48774d6d0a6f9d3d5eb1ce,ACTIVE,115,92,173,0,92,3,0,0,0,0,0,0,7,4,1,2,0,0,0,0,28,1.39,0,0,0,0,0,0,0,6,0,0,0
81,9bad799cf48774d6d0a6f9d3d5eb1ce,PASSIVE,262,103,334,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,1.42,0,0,0,0,0,0,0,0,0,0,0
82,684e25e7922cebd2b298db387aa86b,ACTIVE,34,38,52,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.15,0,0,0,0,0,0,0,0,0,0,0
83,684e25e7922cebd2b298db387aa86b,PASSIVE,84,63,213.5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1.19,0,0,0,0,0,0,0,0,0,0,0
84,732db8b6b7c6daeb4e36ab82758b9e42,ACTIVE,146,115,236,0,17,2,1,6621,1,0,0,1,0,1,0,0,251,0,0,0,9,0.09,57,1,2,0,23,0,0,0,0,0,0
85,732db8b6b7c6daeb4e36ab82758b9e42,PASSIVE,39,20,38,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0.43,0,0,0,0,0,0,0,0,0,0,0
86,559cbf8dad41224391887f67b67777f6,ACTIVE,146,92,465,0,30,0,0,0,0,0,0,0,0.5,6.5,0,0.5,752,0.62,0.41,0,87,0.595,218.5,6,0.5,4,68.5,0,9,0,0,1,0
87,559cbf8dad41224391887f67b67777f6,PASSIVE,48,94,79,0,19,0,0,0,0,0,0,0,0,0,0,0,167,0.08,0.08,1,60,5.175,46,4.5,0,12.5,5.5,0,0,0,0,0,0
